ID,NLuc,CLuc,value,Experiment,Replicate,Volume,Area,VpA,VpA_base,VpA_norm,Ref_sample,NLuc_Sample,CLuc_Sample,ypos
1744,AtMLO1,AtEXO70E2,0.01,4,3,-1721,35.07,-49.07,254.46,0.01,AtMLO1-AtCAM2,B,F,0.99
1745,AtMLO1,AtEXO70E2,0.04,4,4,7357,35.07,209.75,351.35,0.04,AtMLO1-AtCAM2,B,F,0.99
1746,AtMLO1,AtEXO70E2,0,5,1,-2302.25,35.07,-65.64,8.52,0,AtMLO1-AtCAM2,B,F,0.99
1747,AtMLO1,AtEXO70E2,0,5,2,1153.5,24.68,46.73,-7.07,0,AtMLO1-AtCAM2,B,F,0.99
1748,AtMLO1,AtEXO70E2,0.03,5,3,3048.6,24.68,123.51,285.42,0.03,AtMLO1-AtCAM2,B,F,0.99
1749,AtMLO1,AtEXO70E2,0.99,5,4,104922.5,35.07,2991.38,3308.76,0.99,AtMLO1-AtCAM2,B,F,0.99
1750,AtMLO1,AtEXO70E2,0.16,6,1,68457.43,47.05,1455.04,1919.71,0.16,AtMLO1-AtCAM2,B,F,0.99
1751,AtMLO1,AtEXO70E2,0.02,6,2,2979.8,22.16,134.45,322.44,0.02,AtMLO1-AtCAM2,B,F,0.99
1752,AtMLO1,AtEXO70E2,0.11,6,3,31372.86,47.05,666.82,1018.44,0.11,AtMLO1-AtCAM2,B,F,0.99
1753,AtMLO1,AtEXO70E2,0.03,6,4,34169,31.5,1084.89,1026,0.03,AtMLO1-AtCAM2,B,F,0.99
1754,AtMLO1,AtEXO70H1,0.19,1,1,30128.44,104.54,288.2,639.89,0.19,AtMLO1-AtCAM2,B,G,1.61
1755,AtMLO1,AtEXO70H1,1.61,1,2,1380414.45,170.43,8099.46,8148.24,1.61,AtMLO1-AtCAM2,B,G,1.61
1756,AtMLO1,AtEXO70H1,0.66,2,1,100585.75,49.12,2047.73,2043.96,0.66,AtMLO1-AtCAM2,B,G,1.61
1757,AtMLO1,AtEXO70H1,0.05,2,2,487.29,73.38,6.64,288.44,0.05,AtMLO1-AtCAM2,B,G,1.61
1758,AtMLO1,AtEXO70H1,0.04,2,3,4614.5,49.12,93.94,118.07,0.04,AtMLO1-AtCAM2,B,G,1.61
1759,AtMLO1,AtEXO70H1,0.49,3,1,305912,58.03,5271.53,5307.97,0.49,AtMLO1-AtCAM2,B,G,1.61
1760,AtMLO1,AtEXO70H1,1.21,3,2,1496574.63,79.13,18912.11,18992.46,1.21,AtMLO1-AtCAM2,B,G,1.61
1761,AtMLO1,AtEXO70H1,0.22,3,3,217203,79.13,2744.78,2866.45,0.22,AtMLO1-AtCAM2,B,G,1.61
1762,AtMLO1,AtEXO70H1,0.09,3,4,39659.57,58.03,683.42,1226.33,0.09,AtMLO1-AtCAM2,B,G,1.61
1763,AtMLO1,AtEXO70H1,0.06,4,1,233655.61,88.77,2632.14,2344.42,0.06,AtMLO1-AtCAM2,B,G,1.61
1764,AtMLO1,AtEXO70H1,0.22,4,3,474774.06,71.45,6644.93,6948.46,0.22,AtMLO1-AtCAM2,B,G,1.61
1765,AtMLO1,AtEXO70H1,0.04,4,4,8645,35.07,246.47,388.07,0.04,AtMLO1-AtCAM2,B,G,1.61
1766,AtMLO1,AtEXO70H1,0.1,5,1,135933.36,52.4,2594.35,2668.5,0.1,AtMLO1-AtCAM2,B,G,1.61
1767,AtMLO1,AtEXO70H1,1,5,2,1334486.61,88.77,15033.07,14979.27,1,AtMLO1-AtCAM2,B,G,1.61
1768,AtMLO1,AtEXO70H1,0.61,5,3,578066.33,88.77,6511.95,6673.86,0.61,AtMLO1-AtCAM2,B,G,1.61
1769,AtMLO1,AtEXO70H1,1.07,5,4,170567,52.4,3255.35,3572.73,1.07,AtMLO1-AtCAM2,B,G,1.61
1770,AtMLO1,AtEXO70H1,0.78,6,1,566618.69,64.16,8831.76,9296.42,0.78,AtMLO1-AtCAM2,B,G,1.61
1771,AtMLO1,AtEXO70H1,0.22,6,2,180325.07,47.05,3832.75,4020.75,0.22,AtMLO1-AtCAM2,B,G,1.61
1772,AtMLO1,AtEXO70H1,1.12,6,3,1053410.15,104.6,10071.3,10422.91,1.12,AtMLO1-AtCAM2,B,G,1.61
1773,AtMLO1,AtEXO70H1,0.22,6,4,570222.06,79.71,7153.69,7094.8,0.22,AtMLO1-AtCAM2,B,G,1.61
1774,AtMLO1,AtEXO70H2,0.1,1,1,-1571.71,76.66,-20.5,331.19,0.1,AtMLO1-AtCAM2,B,H,1.52
